id,user_id,event_id,star_rating
29,HwV8BqSMR7NPZ7hQ5iXAFW3GFeh1,9,5
28,vV7XrwkFsWaGBwvcgmanrXUhOC12,9,4
26,UPcL4O1Z6bbpS8u8ARNKUTjLJUb2,9,5
31,zcCSDsyAq7YKCPIrcjTgOQ4eXSc2,9,5
24,ptISoIvdEIcArZaPUDbQH4VXKUx1,9,5
20,3Wt2TyfoGEbYR9yuZaebTq0hOB72,9,5
42,7dX5xncZSANIu706YNllGTu55B42,11,4
43,B6SzWsY5jmb9gMVvDqgAFTEOd9j1,11,5
45,TkjGRjxlUqQrpH5bJat3I0FnUB53,11,5
47,Mq2SACMaTheRKHuCWHgmudoV37E3,11,4
46,ptISoIvdEIcArZaPUDbQH4VXKUx1,11,4
48,leYejcwUGzZ29E7G7RoNt4BPpYl1,11,3
35,ZiuAwqjH1oMyxAdpHVGWJdZSeMY2,11,5
33,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,11,5
52,PgiOt5izT1SLQSuOVAT0zWH0nmS2,4,5
54,BaxfCZTZEOQC85PLbE5CvGkMCS82,4,1
51,0IEcaKRjwJbV4BnhKRIEOET1ADZ2,4,4
55,HWZjxzL9fZUgefNdc4VXfrR0Ysk1,4,5
61,1ykO3vaeSKbeu3BdsKMm0NtmFgr1,5,5
60,HxvlgMsyxKfBvUEZ9mXSJuqeEJk2,5,5
63,WC0Hp79cq7W5ELRa4LetOwnGDWc2,7,5
56,hJWKWozrt6ZZS4q6PCW68vHvPHx2,4,5
59,ONJRJY1OXPasRuIxK6OOfPq1Wpq1,5,4
58,5p4G4TD0ZqbGXBvrBWsV6hDzsD02,5,5
65,Kt99aDqHNUUxLm5dtt8W4kGcYvw2,7,4
64,U5Nw32MZaWb21uMMHVuNF5SvJhx1,7,5
67,oKfjU0NR3FQaTokU8Go5ZjFRqKG3,15,3
68,YlBLJdO7ugZgaOAE75TnJ8du3Ky1,15,5
70,fxgENmm7JITIZoiCQE7zrsA0y613,15,5
73,5Au3neZ4AxNWM4yV9fditBYzGjD2,15,5
69,fnQpgAoAmmUkiZlWHGGkBiwQNDX2,15,5
74,tOCM9kWfMQbIRiLNPkqSs2XcgPH3,15,4
76,IcguT0ehGHc5y7a9u5NPWLpEP102,15,5
80,rsPufu0FaDTxXnLkluIzIHBUmGo2,15,4
82,vV7XrwkFsWaGBwvcgmanrXUhOC12,15,5
89,fqpQMPFJpHMImeTThlmjuYx2ex03,13,4
90,tGKKOivSS3dmOmVl7a65QbXYqNO2,13,5
85,6eKSXc3ru0P6MUxN8FFN0mRzCld2,13,3
91,cfoEQdTicYhxMfAdXlrnITCkvaM2,13,4
83,141rbMPLMfgbqxOBlN5H3JRGh013,13,5
